Concerne; regle; sources traités; sources à traiter
Collection; à mettre au pluriel;tous;tous
Variable; mode camelCase , pas de _  . s'applique à param, attribut;tous;tous
methode; premier lettre en minuscule et avec un verbe;tous;tous
methode return Bool; doit commencer par isQqqchose;tous;tous
methode autres prefixe; compute, find, initialize, delete, add,close; tous;tous
noms court; i,j,k,m,n pour entier , c,d,e pour char, f,x,y,z pour flottant;tous;tous
Nom Package; minuscule; tous;tous
Nom Classe; mode CamelCase;tous;tous
Nom methode ; mode camelCase;tous;tous
constantes; static final ..., en MAJ;tous;tous

